Team,#,POS.,FIFA POPULAR NAME,BIRTH DATE,SHIRT NAME,CLUB,HEIGHT,WEIGHT,ilk isim,soyisim
Sweden,13,MF,SVENSSON Gustav,07.02.1987,SVENSSON,Seattle Sounders FC (USA),183,77,SVENSSON,Gustav
Sweden,10,MF,FORSBERG Emil,23.10.1991,FORSBERG,RB Leipzig (GER),179,78,FORSBERG,Emil
Sweden,20,FW,TOIVONEN Ola,03.07.1986,TOIVONEN,Toulouse FC (FRA),192,78,TOIVONEN,Ola
Sweden,11,FW,GUIDETTI John,15.04.1992,GUIDETTI,Deportivo Alavés (ESP),185,79,GUIDETTI,John
Sweden,17,MF,CLAESSON Viktor,02.01.1992,CLAESSON,FC Krasnodar (RUS),183,79,CLAESSON,Viktor
Sweden,3,DF,LINDELOF Victor,17.07.1994,LINDELÖF,Manchester United FC (ENG),187,81,LINDELOF,Victor
Sweden,5,DF,OLSSON Martin,17.05.1988,OLSSON,Swansea City AFC (WAL),177,81,OLSSON,Martin
Sweden,12,GK,JOHNSSON Karl-Johan,28.01.1990,JOHNSSON,EA Guingamp (FRA),187,83,JOHNSSON,Karl-Johan
Sweden,14,DF,HELANDER Filip,22.04.1993,HELANDER,Bologna FC (ITA),192,83,HELANDER,Filip
Sweden,22,FW,THELIN Isaac Kiese,24.06.1992,KIESE THELIN,KV Waasland-Beveren (BEL),189,83,THELIN,Isaac Kiese
Sweden,4,DF,GRANQVIST Andreas,16.04.1985,GRANQVIST,FC Krasnodar (RUS),192,84,GRANQVIST,Andreas
Sweden,23,GK,NORDFELDT Kristoffer,23.06.1989,NORDFELDT,Swansea City AFC (WAL),190,85,NORDFELDT,Kristoffer
Sweden,1,GK,OLSEN Robin,08.01.1990,OLSEN,FC Kobenhavn (DEN),198,89,OLSEN,Robin
Sweden,18,DF,JANSSON Pontus,13.02.1991,JANSSON,Leeds United FC (ENG),194,89,JANSSON,Pontus
Switzerland,16,MF,FERNANDES Gelson,02.09.1986,G. FERNANDES,Eintracht Frankfurt (GER),180,72,FERNANDES,Gelson
Switzerland,8,MF,FREULER Remo,15.04.1992,FREULER,Atalanta Bergamo (ITA),181,75,FREULER,Remo
Switzerland,18,FW,GAVRANOVIC Mario,24.11.1989,GAVRANOVIC,GNK Dinamo Zagreb (CRO),175,75,GAVRANOVIC,Mario
Switzerland,3,DF,MOUBANDJE Francois,21.06.1990,MOUBANDJE,Toulouse FC (FRA),180,76,MOUBANDJE,Francois
Switzerland,2,DF,LICHTSTEINER Stephan,16.01.1984,LICHTSTEINER,Juventus FC (ITA),181,77,LICHTSTEINER,Stephan
Switzerland,4,DF,ELVEDI Nico,30.09.1996,ELVEDI,VfL Borussia Mönchengladbach (GER),187,77,ELVEDI,Nico
Switzerland,15,MF,DZEMAILI Blerim,12.04.1986,DZEMAILI,Bologna FC (ITA),180,77,DZEMAILI,Blerim
Switzerland,17,MF,ZAKARIA Denis,20.11.1996,ZAKARIA,VfL Borussia Mönchengladbach (GER),189,77,ZAKARIA,Denis
Switzerland,6,DF,LANG Michael,08.02.1991,LANG,FC Basel (SUI),185,78,LANG,Michael
Switzerland,11,MF,BEHRAMI Valon,19.04.1985,BEHRAMI,Udinese Calcio (ITA),184,78,BEHRAMI,Valon
Switzerland,19,FW,DRMIC Josip,08.08.1992,DRMIC,VfL Borussia Mönchengladbach (GER),184,78,DRMIC,Josip
Switzerland,23,MF,SHAQIRI Xherdan,10.10.1991,SHAQIRI,Stoke City FC (ENG),165,78,SHAQIRI,Xherdan
Switzerland,13,DF,RODRIGUEZ Ricardo,25.08.1992,RODRIGUEZ,AC Milan (ITA),180,79,RODRIGUEZ,Ricardo
Switzerland,14,MF,ZUBER Steven,17.08.1991,ZUBER,TSG 1899 Hoffenheim (GER),182,79,ZUBER,Steven
Switzerland,1,GK,SOMMER Yann,17.12.1988,SOMMER,VfL Borussia Mönchengladbach (GER),183,81,SOMMER,Yann
Switzerland,10,MF,XHAKA Granit,27.09.1992,XHAKA,Arsenal FC (ENG),183,82,XHAKA,Granit
Switzerland,21,GK,BUERKI Roman,14.11.1990,BÜRKI,Borussia Dortmund (GER),188,83,BUERKI,Roman
Switzerland,22,DF,SCHAER Fabian,20.12.1991,SCHÄR,Deportivo La Coruña (ESP),186,83,SCHAER,Fabian
Switzerland,12,GK,MVOGO Yvon,06.06.1994,MVOGO,RB Leipzig (GER),186,84,MVOGO,Yvon
Switzerland,5,DF,AKANJI Manuel,19.07.1995,AKANJI,Borussia Dortmund (GER),186,85,AKANJI,Manuel
Switzerland,7,FW,EMBOLO Breel,14.02.1997,EMBOLO,FC Schalke 04 (GER),184,86,EMBOLO,Breel
Switzerland,9,FW,SEFEROVIC Haris,22.02.1992,SEFEROVIC,SL Benfica (POR),186,88,SEFEROVIC,Haris
Switzerland,20,DF,DJOUROU Johan,18.01.1987,DJOUROU,Antalyaspor AS (TUR),192,90,DJOUROU,Johan
Tunisia,23,FW,SLITI Naim,27.07.1992,SLITI,Dijon FCO (FRA),173,65,SLITI,Naim
Tunisia,17,MF,SKHIRI Ellyes,10.05.1995,SKHIRI JORIS,Montpellier HSC (FRA),185,69,SKHIRI,Ellyes
Tunisia,4,DF,MERIAH Yassine,02.07.1993,MERIAH,CS Sfaxien (TUN),183,70,MERIAH,Yassine
Tunisia,9,MF,BADRI Anice,18.09.1990,BADRI,ES Tunis (TUN),178,70,BADRI,Anice
Tunisia,20,FW,CHAALELI Ghaylen,28.02.1994,CHAALELI,ES Tunis (TUN),179,70,CHAALELI,Ghaylen
Tunisia,22,GK,HASSEN Mouez,05.03.1995,HASSEN,LB Chateauroux (FRA),186,70,HASSEN,Mouez
Tunisia,18,FW,SRARFI Bassem,25.06.1997,SRARFI,OGC Nice (FRA),176,71,SRARFI,Bassem
Tunisia,12,DF,MAALOUL Ali,01.01.1990,MAALOUL,Al Ahly SC (EGY),170,72,MAALOUL,Ali
Tunisia,19,FW,KHALIFA Saber,14.10.1986,KHALIFA,Club Africain (TUN),185,72,KHALIFA,Saber
Tunisia,3,DF,BEN ALOUANE Yohan,28.03.1987,BEN ALOUANE,Leicester City FC (ENG),185,75,BEN,ALOUANE Yohan
Tunisia,11,DF,BRONN Dylan,19.06.1995,BRONN,KAA Gent (BEL),186,75,BRONN,Dylan
Tunisia,14,MF,BEN AMOR Mohamed,03.05.1992,BEN AMOR,Al Ahli SC (KSA),180,75,BEN,AMOR Mohamed
Tunisia,15,FW,KHALIL Ahmed,21.12.1994,KHALIL,Club Africain (TUN),187,75,KHALIL,Ahmed
Tunisia,21,DF,NAGUEZ Hamdi,28.10.1992,NAGUEZ,Zamalek (EGY),186,75,NAGUEZ,Hamdi
Tunisia,5,DF,HADDADI Oussama,28.01.1992,HADDADI,Dijon FCO (FRA),185,76,HADDADI,Oussama
Tunisia,7,FW,KHAOUI Saifeddine,27.04.1995,KHAOUI,ES Troyes (FRA),180,76,KHAOUI,Saifeddine
Tunisia,10,FW,KHAZRI Wahbi,08.02.1991,KHAZRI,Stade Rennais FC (FRA),182,76,KHAZRI,Wahbi
Tunisia,6,DF,BEDOUI Rami,19.01.1990,BEDOUI,Étoile du Sahel (TUN),187,77,BEDOUI,Rami
Tunisia,8,FW,BEN YOUSSEF Fakhreddine,23.06.1991,BEN YOUSSEF .F,Al Ittifaq FC (KSA),189,80,BEN,YOUSSEF Fakhreddine
Tunisia,13,MF,SASSI Ferjani,18.03.1992,SASSI,Al Nassr FC (KSA),186,80,SASSI,Ferjani
Tunisia,16,GK,MATHLOUTHI Aymen,14.09.1984,MATHLOUTHI .A,Al Batin FC (KSA),182,84,MATHLOUTHI,Aymen
Tunisia,1,GK,BEN MUSTAPHA Farouk,01.07.1989,BEN MUSTAPHA,Al Shabab FC (KSA),192,85,BEN,MUSTAPHA Farouk
Tunisia,2,DF,BEN YOUSSEF Syam,31.03.1989,BEN YOUSSEF .S,Kasimpasa SK (TUR),189,87,BEN,YOUSSEF Syam
Uruguay,8,MF,NANDEZ Nahitan,28.12.1995,NANDEZ,CA Boca Juniors (ARG),171,61,NANDEZ,Nahitan
Uruguay,14,MF,TORREIRA Lucas,11.02.1996,TORREIRA,UC Sampdoria (ITA),168,61,TORREIRA,Lucas
Uruguay,10,FW,DE ARRASCAETA Giorgian,01.06.1994,DE ARRASCAETA,Cruzeiro EC (BRA),172,64,DE,ARRASCAETA Giorgian
Uruguay,17,MF,LAXALT Diego,07.02.1993,LAXALT,Genoa CFC (ITA),178,66,LAXALT,Diego
Uruguay,20,FW,URRETAVISCAYA Jonathan,19.03.1990,URRETAVISCAYA,CF Monterrey (MEX),172,66,URRETAVISCAYA,Jonathan
Uruguay,4,DF,VARELA Guillermo,24.03.1993,VARELA,CA Penarol (URU),173,70,VARELA,Guillermo
Uruguay,3,DF,GODIN Diego,16.02.1986,GODIN,Atletico Madrid (ESP),185,73,GODIN,Diego
Uruguay,6,MF,BENTANCUR Rodrigo,25.06.1997,BENTANCUR,Juventus FC (ITA),187,73,BENTANCUR,Rodrigo
Uruguay,16,DF,PEREIRA Maximiliano,08.06.1984,M. PEREIRA,FC Porto (POR),173,73,PEREIRA,Maximiliano
Uruguay,1,GK,MUSLERA Fernando,16.06.1986,MUSLERA,Galatasaray SK (TUR),190,74,MUSLERA,Fernando
Uruguay,5,MF,SANCHEZ Carlos,02.12.1984,SANCHEZ,CF Monterrey (MEX),171,74,SANCHEZ,Carlos
Uruguay,13,DF,SILVA Gaston,05.03.1994,G. SILVA,CA Independiente (ARG),185,74,SILVA,Gaston
Uruguay,22,DF,CACERES Martin,07.04.1987,CACERES,SS Lazio (ITA),178,75,CACERES,Martin
Uruguay,2,DF,GIMENEZ Jose,20.01.1995,J.M. GIMENEZ,Atletico Madrid (ESP),185,77,GIMENEZ,Jose
Uruguay,11,FW,STUANI Cristhian,12.10.1986,STUANI,Girona FC (ESP),186,78,STUANI,Cristhian
Uruguay,21,FW,CAVANI Edinson,14.02.1987,CAVANI,Paris Saint-Germain FC (FRA),188,78,CAVANI,Edinson
Uruguay,7,MF,RODRIGUEZ Cristian,30.09.1985,C. RODRIGUEZ,CA Penarol (URU),178,79,RODRIGUEZ,Cristian
Uruguay,12,GK,CAMPANA Martin,29.05.1989,CAMPAÑA,CA Independiente (ARG),184,79,CAMPANA,Martin
Uruguay,15,MF,VECINO Matias,24.08.1991,VECINO,FC Internazionale (ITA),189,80,VECINO,Matias
Uruguay,23,GK,SILVA Martin,25.03.1983,M. SILVA,CR Vasco da Gama (BRA),187,82,SILVA,Martin
Uruguay,9,FW,SUAREZ Luis,24.01.1987,SUAREZ,FC Barcelona (ESP),182,85,SUAREZ,Luis
Uruguay,18,FW,GOMEZ Maximiliano,14.08.1996,M. GOMEZ,Celta Vigo (ESP),186,85,GOMEZ,Maximiliano
Uruguay,19,DF,COATES Sebastian,07.10.1990,COATES,Sporting CP (POR),196,89,COATES,Sebastian
